Epoch 1/20: Train Loss: 0.1673, Train Accuracy: 58.20%, Validation Loss: 0.1646, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 2/20: Train Loss: 0.1652, Train Accuracy: 58.27%, Validation Loss: 0.1632, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 3/20: Train Loss: 0.1647, Train Accuracy: 58.27%, Validation Loss: 0.1621, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 4/20: Train Loss: 0.1647, Train Accuracy: 58.26%, Validation Loss: 0.1627, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 5/20: Train Loss: 0.1643, Train Accuracy: 58.27%, Validation Loss: 0.1625, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 6/20: Train Loss: 0.1642, Train Accuracy: 58.27%, Validation Loss: 0.1620, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 7/20: Train Loss: 0.1641, Train Accuracy: 58.27%, Validation Loss: 0.1623, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 8/20: Train Loss: 0.1641, Train Accuracy: 58.27%, Validation Loss: 0.1620, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 9/20: Train Loss: 0.1641, Train Accuracy: 58.27%, Validation Loss: 0.1619, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 10/20: Train Loss: 0.1640, Train Accuracy: 58.27%, Validation Loss: 0.1622, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 11/20: Train Loss: 0.1640, Train Accuracy: 58.27%, Validation Loss: 0.1625, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 12/20: Train Loss: 0.1640, Train Accuracy: 58.27%, Validation Loss: 0.1619, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 13/20: Train Loss: 0.1640, Train Accuracy: 58.27%, Validation Loss: 0.1618, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 14/20: Train Loss: 0.1640, Train Accuracy: 58.27%, Validation Loss: 0.1619, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 15/20: Train Loss: 0.1639, Train Accuracy: 58.27%, Validation Loss: 0.1618, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 16/20: Train Loss: 0.1639, Train Accuracy: 58.27%, Validation Loss: 0.1620, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 17/20: Train Loss: 0.1639, Train Accuracy: 58.27%, Validation Loss: 0.1618, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 18/20: Train Loss: 0.1639, Train Accuracy: 58.27%, Validation Loss: 0.1619, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 19/20: Train Loss: 0.1639, Train Accuracy: 58.27%, Validation Loss: 0.1619, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 20/20: Train Loss: 0.1639, Train Accuracy: 58.27%, Validation Loss: 0.1618, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 1/20: Train Loss: 0.1685, Train Accuracy: 58.24%, Validation Loss: 0.1636, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 2/20: Train Loss: 0.1648, Train Accuracy: 58.27%, Validation Loss: 0.1625, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 3/20: Train Loss: 0.1644, Train Accuracy: 58.27%, Validation Loss: 0.1632, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 4/20: Train Loss: 0.1643, Train Accuracy: 58.27%, Validation Loss: 0.1623, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 1/20: Train Loss: 0.1758, Train Accuracy: 57.98%, Validation Loss: 0.1637, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 2/20: Train Loss: 0.1652, Train Accuracy: 58.27%, Validation Loss: 0.1642, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 3/20: Train Loss: 0.1649, Train Accuracy: 58.27%, Validation Loss: 0.1631, Validation Accuracy: 58.99%, Validation AUC: 0.5000
Epoch 4/20: Train Loss: 0.1652, Train Accuracy: 58.27%, Validation Loss: 0.1623, Validation Accuracy: 58.99%, Validation AUC: 0.5000
